Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
Tai;29780;Avenida Castilla Pérez;Nerja;;36.7432935;-3.8803255;La Axarquía;España;No especificado;No disponible;Tai, 19, Avenida Castilla Pérez, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
conect@.t;29780;Plaza Tutti Frutti;Nerja;;36.7453913;-3.8813136;La Axarquía;España;No especificado;No disponible;conect@.t, Plaza Tutti Frutti, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Ruskins;29789;Avenida Mediterráneo;Nerja;;36.7431796;-3.883709;La Axarquía;España;No especificado;No disponible;Ruskins, Avenida Mediterráneo, Nerja, La Axarquía, Málaga, Andalucía, 29789, España
Cobos;29780;Paseo Marítimo de Nerja;Nerja;;36.7419691;-3.883525;La Axarquía;España;No especificado;No disponible;Cobos, Paseo Marítimo de Nerja, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Las Viñas;29649;;Mijas;Las Viñas;36.4945615;-4.6914431;Costa del Sol Occidental;España;No especificado;No disponible;Las Viñas, La Cala, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
Kalifato;29639;Playa de Carvajal;La Capellanía;;36.5727694;-4.5880928;Costa del Sol Occidental;España;No especificado;No disponible;Kalifato, Sendero de Playa Carvajal, Carvajal, La Capellanía, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29639, España
JJ's;29631;Calle del Agua;Arroyo de la Miel-Benalmádena Costa;Arroyo de la Miel;36.5995245;-4.5343165;Costa del Sol Occidental;España;No especificado;No disponible;JJ's, Calle del Agua, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29631, España
Tropicana;29400;Calle Virgen de los Dolores;Ronda;;36.742985;-5.1628497;Serranía de Ronda;España;No especificado;No disponible;Tropicana, 11, Calle Virgen de los Dolores, Ronda, Serranía de Ronda, Málaga, Andalucía, 29400, España
Cafeteria La Palma;29680;Calle Terraza;Estepona;Barriada Islas Canarias;36.4279121;-5.1455538;Costa del Sol Occidental;España;No especificado;No disponible;Cafeteria La Palma, 57, Calle Terraza, Barriada Blas Infante, Barriada Islas Canarias, Estepona, Costa del Sol Occidental, Málaga, Andalucía, 29680, España
Menceys;29680;Avenida de San Lorenzo;Estepona;Barriada Islas Canarias;36.4242217;-5.1484059;Costa del Sol Occidental;España;No especificado;No disponible;Menceys, 36, Avenida de San Lorenzo, Balcones del Mar, Barriada Islas Canarias, Estepona, Costa del Sol Occidental, Málaga, Andalucía, 29680, España
