,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN TOTAL,,,,,,,,,,,,,,,,,,,,,
(Número de habitantes),,,,,,,,,,,,,,,,,,,,,
"Fuente: Gestrisam, Padrón municipal,  Ayuntamiento de Málaga",,,,,,,,,,,,,,,,,,,,,
,, TOTAL,Hombres,Mujeres,,,,,,,,,,,,,,,,,
,2004,1.704,2.309,258,10.248,746,126,141,15.639,21.685,19.081,257,1.935,18,12.598,54.485,565,1.895,144.462,321.570,3.034.326
,2005,2.251,2.976,365,12.274,1.100,176,221,18.596,29.717,21.443,412,2.370,39,14.214,69.648,773,2.760,181.589,420.207,3.730.610
,2006,2.818,3.823,434,14.726,1.360,207,312,19.505,30.723,23.665,579,2.817,41,15.775,77.882,1.032,3.235,203.977,488.928,4.144.166
,2007,3.012,4.308,463,15.040,1.598,244,390,20.883,34.481,24.705,620,3.060,33,15.437,83.256,1.152,3.418,219.955,531.827,4.519.554
,2008,3.278,5.030,473,17.345,1.900,276,457,23.406,40.495,28.353,756,3.355,41,16.827,95.472,1.301,3.938,250.432,623.279,5.268.762
,2009,3.518,5.365,498,19.061,2.010,308,453,25.259,43.253,30.011,779,3.474,45,17.633,101.934,1.354,4.183,267.824,675.180,5.648.671
,2010,3.495,5.546,493,19.969,2.076,311,472,24.850,45.394,31.153,851,3.625,44,17.923,156.202,1.393,4.314,275.027,704.056,5.747.734
,2011,3.501,5.528,499,20.815,2.169,328,495,26.327,47.925,32.743,888,3.099,45,17.756,162.118,1.408,4.421,283.498,730.155,5.751.487
,2012,3.492,5.753,505,21.408,2.271,368,469,27.643,48.966,34.246,895,3.025,42,17.625,166.708,1.419,4.658,292.257,747.110,5.736.258
,2013,3.446,5.916,522,22.717,2.270,331,474,28.499,50.394,36.303,853,2.898,41,17.595,172.259,1.365,4.915,296.337,729.725,5.546.238
,2014,3.016,5.545,289,19.168,1.814,265,370,26.073,46.030,26.990,721,2.769,31,14.905,147.986,1.141,3.818,253.408,661.520,5.023.487
,2015,2.968,5.535,273,17.962,1.595,237,367,26.865,44.465,27.540,694,2.754,29,14.215,145.499,1.124,3.708,247.903,636.205,4.729.644
,2016,2.792,5.319,269,17.504,1.508,244,331,26.672,42.816,24.578,618,2.820,27,13.930,139.428,1.089,3.704,239.810,620.006,4.618.581
,2017,2.755,5.596,291,18.038,1.506,202,359,23.746,42.133,22.567,551,2.872,26,13.113,133.755,1.115,3.624,232.952,606.275,4.572.807
,2018,3.045,4.825,306,16.188,1.549,216,378,24.002,43.563,25.110,509,3.044,30,13.688,136.453,1.193,3.597,238.312,621.396,4.734.691
,2019,3.145,5.110,292,16.194,1.619,251,379,28.864,46.490,26.175,550,3.359,48,13.977,146.453,1.295,3.680,253.153,655.555,5.036.878
,2020,3.383,5.645,330,16.807,1.763,314,496,31.020,50.080,27.653,625,3.614,50,14.115,155.895,1.441,3.947,270.206,702.018,5.434.153
,2021,3.462,6.048,337,17.144,1.894,332,534,30.671,49.698,27.479,644,3.662,39,13.383,155.327,1.610,4.477,273.001,711.916,5.440.148
,2022,3.445,6.194,334,18.994,1.892,342,499,31.252,52.334,28.791,672,3.600,39,13.555,161.943,1.637,4.860,287.344,741.378,5.542.932
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE ENVEJECIMIENTO                 ,,,,,,,,,,,,,,,,,,,,,
(Población>64 años/población<16 años),,,,,,,,,,,,,,,,,,,,,
"Fuente: Padrón municipal, INE",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2000,"0,3555","0,6390","0,8645","0,6527","0,5864","1,0937","1,1255","0,8056","0,7897","0,8175","0,7748","0,4632","1,2347","0,7545","0,7518","0,9162","0,7936","0,7740","0,7455","1,0720"
