Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
Restaurant Orient Palace II;29630.0;Avenida de las Palmeras;Benalmádena;Arroyo de la Miel;36.5887802;-4.5318748;Costa del Sol Occidental;España;No especificado;No disponible;Restaurant Orient Palace II, Avenida de las Palmeras, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Antons bar;29630.0;Avenida de las Palmeras;Benalmádena;Arroyo de la Miel;36.5884331;-4.5313632;Costa del Sol Occidental;España;No especificado;No disponible;Antons bar, Avenida de las Palmeras, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Estilo Campo;29640.0;moncayo N 7;Fuengirola;Los Boliches;36.5379222;-4.6221786;Costa del Sol Occidental;España;No especificado;No disponible;Estilo Campo, 7, Calle Huerto, Los Boliches, Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
Ventas el Conde;29170.0;A-7000;Málaga;;36.8776581;-4.344282;Málaga-Costa del Sol;España;No especificado;No disponible;Ventas el Conde, A-7000, Ciudad Jardín, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29170, España
El Vegetariano de Alcazabilla;29015.0;Calle Pozo del Rey;Málaga;Centro Histórico;36.7221131;-4.416876;Málaga-Costa del Sol;España;No especificado;No disponible;El Vegetariano de Alcazabilla, 5, Calle Pozo del Rey, Centro Histórico, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29015, España
Peña La Cresta;29649.0;Camino Romeral;Mijas;Pueblo Mijitas;36.5447082;-4.6602105;Costa del Sol Occidental;España;No especificado;No disponible;Peña La Cresta, Camino Romeral, Valle Verde - FI, Pueblo Mijitas, Cerros del Águila, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
Restaurante El Golf;29651.0;Avenida Suiza de Mijas Golf;Mijas;Puebla Aida;36.5461913;-4.6586651;Costa del Sol Occidental;España;No especificado;No disponible;Restaurante El Golf, Avenida Suiza de Mijas Golf, Mijas Golf, Puebla Aida, Cerros del Águila, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29651, España
Mirador de la Peana;29130.0;Calle Almendrillos del Tomillar;Alhaurín de la Torre;Los Tomillares;36.651044;-4.5508799;Valle del Guadalhorce;España;No especificado;No disponible;Mirador de la Peana, Calle Almendrillos del Tomillar, Los Tomillares, Alhaurín de la Torre, Valle del Guadalhorce, Málaga, Andalucía, 29130, España
El Oasis;29738.0;Paseo de la Marina;Rincón de la Victoria;Torre de Benagalbón;36.7109433;-4.2528718;La Axarquía;España;No especificado;No disponible;El Oasis, Paseo de la Marina, Urb Benatorre, Torre de Benagalbón, Rincón de la Victoria, La Axarquía, Málaga, Andalucía, 29738, España
Zero 81;29620.0;Calle Caputulaciones;Torremolinos;;36.6083886;-4.5135747;Costa del Sol Occidental;España;No especificado;No disponible;Zero 81, Calle Capitulaciones, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
Los Caballos;29649.0;;Mijas;Los Caballos;36.5187828;-4.6605302;Costa del Sol Occidental;España;No especificado;No disponible;Los Caballos, Chaparral, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
Restaurante Los Bravos;29004.0;Calle Argonautas;Málaga;;36.6742292;-4.4843532;Málaga-Costa del Sol;España;No especificado;No disponible;Restaurante Los Bravos, Calle Argonautas, Churriana, Guadalmar-San Julián, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España
Tick Tack Arrocería;29004.0;Calle Rogelio Oliva;Málaga;Guadalmar;36.6642406;-4.4614229;Málaga-Costa del Sol;España;No especificado;No disponible;Tick Tack Arrocería, 15, Calle Rogelio Oliva, Guadalmar, Churriana, Guadalmar-San Julián, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España
Café Bar Europa;29630.0;Avenida Federico García Lorca;Benalmádena;Benalmádena Costa;36.5925406;-4.5274686;Costa del Sol Occidental;España;No especificado;No disponible;Café Bar Europa, Avenida Federico García Lorca, Benalmádena Costa, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
La Purisima;29017.0;Calle Juan Valera;Málaga;Pedregalejo;36.7225038;-4.3760114;Málaga-Costa del Sol;España;No especificado;No disponible;La Purisima, 2, Calle Juan Valera, Pedregalejo, Este, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29017, España
Mulse;29730.0;Calle del Túnel;Rincón de la Victoria;;36.7149877;-4.2933986;La Axarquía;España;No especificado;No disponible;Mulse, Calle El Túnel, La Cala del Moral, Rincón de la Victoria, La Axarquía, Málaga, Andalucía, 29730, España
La Carreta;29730.0;Avenida de la Torre;Coín;;36.700401;-4.7290773;Valle del Guadalhorce;España;No especificado;No disponible;La Carreta, Coín, Valle del Guadalhorce, Málaga, Andalucía, 29100, España
Mira Sol;29730.0;Poeta Manuel Alcantara;Rincón de la Victoria;;36.7148596;-4.2800341;La Axarquía;España;No especificado;No disponible;Mira Sol, 1, Calle Poeta Manuel Alcántara, Rincón de la Victoria, La Axarquía, Málaga, Andalucía, 29730, España
Rincon de Miguel;29730.0;Avenida de la Torre;Rincón de la Victoria;Torre de Benagalbón;36.7124904;-4.2642967;La Axarquía;España;No especificado;No disponible;Rincon de Miguel, 28, Avenida de la Torre, Urb Benatorre, Torre de Benagalbón, Rincón de la Victoria, La Axarquía, Málaga, Andalucía, 29730, España
Casa Paca;29730.0;Avenida del Mediterráneo;Rincón de la Victoria;;36.7132753;-4.2706833;La Axarquía;España;No especificado;No disponible;Casa Paca, Avenida del Mediterráneo, Rincón de la Victoria, La Axarquía, Málaga, Andalucía, 29730, España
The Pasta Lounge;29649.0;Calle Tomillo de La Torre;Mijas;Puebla Aida;36.5517319;-4.6824439;Costa del Sol Occidental;España;No especificado;No disponible;The Pasta Lounge, Calle Tomillo de La Torre, Urbanizacion La Torre - Cala Hills, Puebla Aida, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
Swaghat;29649.0;Calle Acebuche de La Torre;Mijas;Puebla Aida;36.5519519;-4.6842027;Costa del Sol Occidental;España;No especificado;No disponible;Swaghat, Calle Acebuche de La Torre, Urbanizacion La Torre - Cala Hills, Puebla Aida, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
"""The Family"" restaurant and bar";29649.0;Calle José Orbaneja;Mijas;Urbanización Sitio de Calahonda;36.5069624;-4.7281329;Costa del Sol Occidental;España;No especificado;No disponible;"""The Family"" restaurant and bar, Calle José Orbaneja de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España"
Casa Paco;29620.0;Autovía del Mediterráneo;Torremolinos;;36.6420299;-4.5147424;Málaga-Costa del Sol;España;No especificado;No disponible;Casa Paco, Autovía del Mediterráneo, Churriana, Torremolinos, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29620, España
Malibu Beach Bar;29639.0;Avenida del Sol;Benalmádena;;36.5804808;-4.5589749;Costa del Sol Occidental;España;No especificado;No disponible;Malibu Beach Bar, Avenida del Sol, Santana, La Perla-Torremuelle, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29639, España
Mesón de Bravo;29640.0;Calle Francisco Cano;Fuengirola;Los Boliches;36.5515971;-4.6149343;Costa del Sol Occidental;España;No especificado;No disponible;Mesón de Bravo, Calle Francisco Cano, Los Boliches, Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
El Campillo;29150.0;;Almogía;;36.8675545;-4.5796853;Valle del Guadalhorce;España;No especificado;No disponible;El Campillo, Almogía, Valle del Guadalhorce, Málaga, Andalucía, 29150, España
Ta-Kumi;29012.0;Calle Mundo Nuevo;Málaga;La Victoria;36.7227404;-4.4162121;Málaga-Costa del Sol;España;No especificado;No disponible;Ta-Kumi, 4, Calle Mundo Nuevo, La Victoria, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29012, España
Cafetería Plaza;29005.0;Plaza de la Marina;Málaga;Centro Histórico;36.7184077;-4.4210516;Málaga-Costa del Sol;España;No especificado;No disponible;Cafetería Plaza, Plaza de la Marina, Centro Histórico, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29005, España
Viña del Mar;29003.0;Avenida Sor Teresa Prat;Málaga;Santa Paula;36.6906629;-4.4450081;Málaga-Costa del Sol;España;No especificado;No disponible;Viña del Mar, Avenida Sor Teresa Prat, Santa Paula, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España
El Paso;29017.0;Pasaje Antonio Barceló Madueño;Málaga;Las Acacias;36.7220634;-4.3682933;Málaga-Costa del Sol;España;No especificado;No disponible;El Paso, 4, Pasaje Antonio Barceló Madueño, Las Acacias, Este, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29017, España
