,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
,2013,1.382.299,26.124.575,235.814.031,1.227.387,30.625.796,252.346.425,154.911,,,,,,,,,,,,,
,2014,1.626.072,26.512.248,240.034.872,1.451.674,30.827.327,264.506.726,174.398,,,,,,,,,,,,,
,2015,1.806.637,24.930.490,249.794.416,1.740.468,26.534.419,274.772.330,66.168,,,,,,,,,,,,,
,2016,1.995.764,26.823.153,256.393.380,2.021.669,24.282.037,273.778.599,-25.904,,,,,,,,,,,,,
,2017,2.206.669,30.506.662,276.142.907,3.203.229,29.059.898,302.431.158,-996.559,,,,,,,,,,,,,
,2018,2.055.685,32.439.283,285.023.922,2.103.184,32.518.850,318.863.933,-47.498,,,,,,,,,,,,,
,2019,2.244.170,31.738.158,290.089.074,2.456.205,30.553.199,322.068.688,-212.035,,,,,,,,,,,,,
,2020,2.287.471,27.831.866,261.175.458,2.258.942,24.673.313,274.597.539,28.529,,,,,,,,,,,,,
,2021,2.440.023,34.551.941,316.609.168,2.779.562,33.193.647,342.787.092,-339.539,,,,,,,,,,,,,
,2022,2.881.432,42.957.664,389.208.924,3.148.337,47.167.959,457.321.163,-266.905,,,,,,,,,,,,,
,2023,3.221.833,38.536.938,383.688.602,3.456.078,41.295.699,424.248.746,-234.245,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mercado de trabajo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PARO REGISTRADO EN AREA METROPOLITANA               ,,,,,,,,,,,,,,,,,,,,,
(Número de parados a diciembre),,,,,,,,,,,,,,,,,,,,,
